			
ROI	Mean	STD	Sum	Min	Max	Pixel count	
ROI 5	1015.375	153.193	16246.000	776.000	1403.000	16	
ROI 5	1026.750	130.429	16428.000	792.000	1336.000	16	
ROI 5	1073.188	135.164	17171.000	850.000	1390.000	16	
ROI 5	1117.250	151.883	17876.000	843.000	1462.000	16	
ROI 5	1142.938	156.826	18287.000	925.000	1489.000	16	
ROI 5	1180.250	151.693	18884.000	956.000	1595.000	16	
ROI 5	1177.312	145.009	18837.000	962.000	1529.000	16	
ROI 5	1223.938	154.494	19583.000	947.000	1531.000	16	
ROI 5	1212.938	133.010	19407.000	985.000	1540.000	16	
ROI 5	1236.688	147.331	19787.000	1030.000	1538.000	16	
ROI 5	1242.688	160.810	19883.000	1014.000	1657.000	16	
ROI 5	1246.438	145.338	19943.000	1013.000	1564.000	16	
ROI 5	1274.750	150.847	20396.000	1021.000	1594.000	16	
ROI 5	1293.375	167.962	20694.000	953.000	1645.000	16	
ROI 5	1309.438	168.661	20951.000	1001.000	1726.000	16	
ROI 5	1295.875	181.940	20734.000	1057.000	1790.000	16	
ROI 5	1334.250	173.213	21348.000	1104.000	1785.000	16	
ROI 5	1316.688	168.701	21067.000	1045.000	1719.000	16	
ROI 5	1338.312	175.829	21413.000	1049.000	1783.000	16	
ROI 5	1368.875	157.997	21902.000	1155.000	1804.000	16	
ROI 5	1343.875	167.578	21502.000	1078.000	1718.000	16	
ROI 5	1371.062	188.310	21937.000	1099.000	1863.000	16	
ROI 5	1398.812	174.741	22381.000	1135.000	1821.000	16	
ROI 5	1403.438	186.610	22455.000	1123.000	1852.000	16	
ROI 5	1400.312	173.692	22405.000	1181.000	1809.000	16	
ROI 5	1440.750	165.804	23052.000	1152.000	1796.000	16	
ROI 5	1422.875	164.097	22766.000	1168.000	1835.000	16	
ROI 5	1446.938	164.151	23151.000	1185.000	1871.000	16	
ROI 5	1464.625	173.990	23434.000	1165.000	1815.000	16	
ROI 5	1474.875	193.375	23598.000	1223.000	1900.000	16	
ROI 5	1476.625	195.510	23626.000	1164.000	1922.000	16	
ROI 5	1486.562	177.917	23785.000	1232.000	1938.000	16	
ROI 5	1474.125	166.853	23586.000	1249.000	1890.000	16	
ROI 5	1501.312	183.393	24021.000	1253.000	1935.000	16	
ROI 5	1501.938	186.441	24031.000	1241.000	1908.000	16	
ROI 5	1521.938	199.645	24351.000	1209.000	1991.000	16	
ROI 5	1552.875	183.691	24846.000	1321.000	2026.000	16	
ROI 5	1520.562	171.706	24329.000	1245.000	1929.000	16	
ROI 5	1552.125	207.577	24834.000	1264.000	2009.000	16	
ROI 5	1553.062	188.533	24849.000	1255.000	1951.000	16	
ROI 5	1564.125	207.406	25026.000	1300.000	2115.000	16	
ROI 5	1554.250	192.786	24868.000	1242.000	2014.000	16	
ROI 5	1585.688	165.037	25371.000	1287.000	1927.000	16	
ROI 5	1596.625	179.261	25546.000	1332.000	2002.000	16	
ROI 5	1593.000	170.134	25488.000	1369.000	2050.000	16	
ROI 5	1605.125	179.574	25682.000	1317.000	1979.000	16	
ROI 5	1629.938	205.953	26079.000	1331.000	2143.000	16	
ROI 5	1642.688	195.566	26283.000	1408.000	2093.000	16	
ROI 5	1616.375	214.797	25862.000	1324.000	2123.000	16	
ROI 5	1644.188	184.371	26307.000	1385.000	2130.000	16	
ROI 5	1653.562	194.497	26457.000	1371.000	2123.000	16	
ROI 5	1668.188	168.592	26691.000	1371.000	2099.000	16	
ROI 5	1666.500	184.971	26664.000	1393.000	2098.000	16	
ROI 5	1667.938	189.372	26687.000	1416.000	2137.000	16	
ROI 5	1691.938	206.427	27071.000	1381.000	2175.000	16	
ROI 5	1682.938	178.297	26927.000	1411.000	2097.000	16	
ROI 5	1679.438	180.621	26871.000	1369.000	2103.000	16	
ROI 5	1684.500	199.430	26952.000	1353.000	2176.000	16	
ROI 5	1697.188	209.934	27155.000	1363.000	2174.000	16	
ROI 5	1718.938	187.463	27503.000	1430.000	2180.000	16	
ROI 5	1727.812	205.763	27645.000	1454.000	2141.000	16	
ROI 5	1734.500	210.513	27752.000	1441.000	2248.000	16	
ROI 5	1739.750	200.175	27836.000	1365.000	2182.000	16	
ROI 5	1743.688	196.535	27899.000	1449.000	2197.000	16	
ROI 5	1744.188	200.633	27907.000	1443.000	2243.000	16	
ROI 5	1757.750	215.138	28124.000	1437.000	2266.000	16	
ROI 5	1781.000	220.132	28496.000	1421.000	2301.000	16	
ROI 5	1796.062	191.717	28737.000	1456.000	2193.000	16	
ROI 5	1803.125	194.829	28850.000	1483.000	2230.000	16	
ROI 5	1811.188	210.327	28979.000	1419.000	2306.000	16	
ROI 5	1838.812	203.634	29421.000	1532.000	2372.000	16	
ROI 5	1838.062	215.450	29409.000	1501.000	2371.000	16	
ROI 5	1858.062	211.523	29729.000	1574.000	2409.000	16	
ROI 5	1886.438	228.279	30183.000	1570.000	2447.000	16	
ROI 5	1890.812	233.892	30253.000	1550.000	2446.000	16	
ROI 5	1909.375	225.976	30550.000	1620.000	2390.000	16	
ROI 5	1901.625	240.865	30426.000	1560.000	2428.000	16	
ROI 5	1917.562	236.539	30681.000	1529.000	2466.000	16	
ROI 5	1945.688	205.875	31131.000	1639.000	2441.000	16	
ROI 5	1949.438	231.558	31191.000	1621.000	2481.000	16	
ROI 5	1976.500	224.103	31624.000	1612.000	2498.000	16	
ROI 5	1960.938	207.920	31375.000	1703.000	2480.000	16	
ROI 5	1989.188	237.800	31827.000	1629.000	2595.000	16	
ROI 5	1987.625	229.466	31802.000	1693.000	2537.000	16	
ROI 5	2024.125	250.132	32386.000	1705.000	2647.000	16	
ROI 5	2027.625	253.666	32442.000	1697.000	2607.000	16	
ROI 5	2034.562	221.104	32553.000	1730.000	2578.000	16	
ROI 5	2061.000	236.468	32976.000	1714.000	2586.000	16	
ROI 5	2110.000	231.391	33760.000	1812.000	2672.000	16	
ROI 5	2108.750	227.472	33740.000	1750.000	2659.000	16	
ROI 5	2141.688	247.835	34267.000	1828.000	2762.000	16	
ROI 5	2151.062	249.635	34417.000	1801.000	2669.000	16	
ROI 5	2184.375	259.838	34950.000	1869.000	2781.000	16	
ROI 5	2198.062	268.874	35169.000	1742.000	2840.000	16	
ROI 5	2220.000	257.900	35520.000	1861.000	2840.000	16	
ROI 5	2248.125	257.904	35970.000	1853.000	2859.000	16	
ROI 6	981.143	140.640	13736.000	734.000	1269.000	14	
ROI 6	803.929	138.359	11255.000	554.000	1091.000	14	
ROI 6	677.214	137.513	9481.000	438.000	952.000	14	
ROI 6	523.071	130.540	7323.000	279.000	797.000	14	
ROI 6	408.000	122.881	5712.000	187.000	655.000	14	
ROI 6	302.214	113.188	4231.000	142.000	534.000	14	
ROI 6	206.786	93.814	2895.000	88.000	386.000	14	
ROI 6	540.714	75.858	7570.000	375.000	680.000	14	
ROI 6	595.429	85.535	8336.000	449.000	758.000	14	
ROI 6	640.714	94.216	8970.000	444.000	815.000	14	
ROI 6	685.786	84.463	9601.000	526.000	810.000	14	
ROI 6	724.786	79.485	10147.000	549.000	846.000	14	
ROI 6	775.143	95.697	10852.000	598.000	952.000	14	
ROI 6	811.571	89.438	11362.000	632.000	994.000	14	
ROI 6	849.714	105.923	11896.000	648.000	1062.000	14	
ROI 6	873.714	86.203	12232.000	714.000	1031.000	14	
ROI 6	869.714	105.088	12176.000	674.000	1050.000	14	
ROI 6	904.000	107.670	12656.000	670.000	1060.000	14	
ROI 6	884.429	109.498	12382.000	740.000	1068.000	14	
ROI 6	916.429	92.094	12830.000	726.000	1095.000	14	
ROI 6	930.714	95.150	13030.000	749.000	1089.000	14	
ROI 6	934.571	109.506	13084.000	753.000	1132.000	14	
ROI 6	942.286	95.783	13192.000	716.000	1120.000	14	
ROI 6	968.643	104.179	13561.000	774.000	1172.000	14	
ROI 6	967.071	104.053	13539.000	796.000	1145.000	14	
ROI 6	982.857	105.572	13760.000	780.000	1183.000	14	
ROI 6	985.214	97.988	13793.000	838.000	1160.000	14	
ROI 6	1000.786	112.767	14011.000	782.000	1169.000	14	
ROI 6	1011.857	119.098	14166.000	799.000	1209.000	14	
ROI 6	1028.214	97.892	14395.000	876.000	1229.000	14	
ROI 6	1045.429	107.655	14636.000	809.000	1262.000	14	
ROI 6	1046.643	102.431	14653.000	845.000	1204.000	14	
ROI 6	1051.214	112.388	14717.000	805.000	1222.000	14	
ROI 6	1066.286	103.493	14928.000	865.000	1224.000	14	
ROI 6	1065.071	115.274	14911.000	866.000	1310.000	14	
ROI 6	1083.286	118.944	15166.000	861.000	1304.000	14	
ROI 6	1068.071	130.580	14953.000	842.000	1288.000	14	
ROI 6	1087.214	111.039	15221.000	874.000	1263.000	14	
ROI 6	1103.000	102.031	15442.000	891.000	1293.000	14	
ROI 6	1107.857	116.358	15510.000	869.000	1263.000	14	
ROI 6	1128.857	116.682	15804.000	898.000	1294.000	14	
ROI 6	1134.286	118.065	15880.000	878.000	1346.000	14	
ROI 6	1138.786	124.620	15943.000	897.000	1365.000	14	
ROI 6	1141.714	110.414	15984.000	926.000	1312.000	14	
ROI 6	1137.857	112.079	15930.000	934.000	1306.000	14	
ROI 6	1151.857	115.346	16126.000	973.000	1354.000	14	
ROI 6	1152.500	106.112	16135.000	938.000	1336.000	14	
ROI 6	1165.071	112.826	16311.000	945.000	1338.000	14	
ROI 6	1167.857	118.145	16350.000	905.000	1349.000	14	
ROI 6	1174.929	128.997	16449.000	927.000	1424.000	14	
ROI 6	1190.000	123.565	16660.000	971.000	1382.000	14	
ROI 6	1179.143	125.186	16508.000	906.000	1402.000	14	
ROI 6	1187.000	116.616	16618.000	980.000	1386.000	14	
ROI 6	1199.286	119.681	16790.000	978.000	1374.000	14	
ROI 6	1198.214	132.414	16775.000	955.000	1415.000	14	
ROI 6	1202.786	131.181	16839.000	947.000	1453.000	14	
ROI 6	1213.857	128.663	16994.000	987.000	1450.000	14	
ROI 6	1229.786	121.905	17217.000	1003.000	1449.000	14	
ROI 6	1232.714	110.779	17258.000	997.000	1439.000	14	
ROI 6	1222.214	132.463	17111.000	1015.000	1469.000	14	
ROI 6	1241.286	105.745	17378.000	1067.000	1428.000	14	
ROI 6	1250.214	120.542	17503.000	1029.000	1459.000	14	
ROI 6	1239.500	137.435	17353.000	949.000	1471.000	14	
ROI 6	1237.286	114.023	17322.000	1026.000	1428.000	14	
ROI 6	1238.429	113.199	17338.000	999.000	1401.000	14	
ROI 6	1249.071	120.616	17487.000	1014.000	1460.000	14	
ROI 6	1255.286	116.669	17574.000	1007.000	1428.000	14	
ROI 6	1259.929	122.871	17639.000	1023.000	1460.000	14	
ROI 6	1255.857	121.697	17582.000	1022.000	1428.000	14	
ROI 6	1259.571	136.839	17634.000	1006.000	1514.000	14	
ROI 6	1278.857	121.802	17904.000	1038.000	1450.000	14	
ROI 6	1258.071	120.562	17613.000	1070.000	1463.000	14	
ROI 6	1274.143	116.985	17838.000	1030.000	1470.000	14	
ROI 6	1274.571	131.799	17844.000	1033.000	1490.000	14	
ROI 6	1283.214	125.012	17965.000	1019.000	1464.000	14	
ROI 6	1279.143	128.080	17908.000	1041.000	1483.000	14	
ROI 6	1314.214	122.349	18399.000	1072.000	1491.000	14	
ROI 6	1314.714	115.403	18406.000	1080.000	1502.000	14	
ROI 6	1316.571	126.630	18432.000	1074.000	1514.000	14	
ROI 6	1308.643	121.580	18321.000	1082.000	1513.000	14	
ROI 6	1317.286	135.227	18442.000	1079.000	1588.000	14	
ROI 6	1330.143	122.121	18622.000	1087.000	1554.000	14	
ROI 6	1350.929	149.375	18913.000	1047.000	1606.000	14	
ROI 6	1334.857	137.778	18688.000	1077.000	1584.000	14	
ROI 6	1340.714	129.261	18770.000	1121.000	1551.000	14	
ROI 6	1341.714	134.644	18784.000	1087.000	1542.000	14	
ROI 6	1341.357	121.444	18779.000	1118.000	1517.000	14	
ROI 6	1347.857	137.934	18870.000	1105.000	1601.000	14	
ROI 6	1342.214	116.113	18791.000	1101.000	1527.000	14	
ROI 6	1349.929	145.381	18899.000	1057.000	1589.000	14	
ROI 6	1363.429	129.354	19088.000	1082.000	1581.000	14	
ROI 6	1358.571	135.234	19020.000	1083.000	1584.000	14	
ROI 6	1364.143	129.131	19098.000	1102.000	1597.000	14	
ROI 6	1382.714	135.510	19358.000	1109.000	1608.000	14	
ROI 6	1390.357	131.399	19465.000	1148.000	1634.000	14	
ROI 6	1375.143	153.484	19252.000	1085.000	1656.000	14	
ROI 6	1389.500	134.033	19453.000	1132.000	1592.000	14	
ROI 6	1378.429	130.152	19298.000	1106.000	1588.000	14	
ROI 6	1384.714	131.116	19386.000	1092.000	1573.000	14	
ROI 6	1386.786	153.039	19415.000	1134.000	1670.000	14	
ROI 6	1401.286	145.983	19618.000	1087.000	1614.000	14	
ROI 6	1388.214	143.427	19435.000	1139.000	1662.000	14	
ROI 6	1403.714	136.581	19652.000	1121.000	1681.000	14	
ROI 6	1394.857	151.659	19528.000	1119.000	1644.000	14	
ROI 6	1406.714	161.104	19694.000	1066.000	1667.000	14	
ROI 7	3073.455	582.413	33808.000	2295.000	4095.000	11	
ROI 7	3028.545	569.376	33314.000	2278.000	4027.000	11	
ROI 7	2999.091	548.928	32990.000	2255.000	3945.000	11	
ROI 7	2846.091	549.834	31307.000	2092.000	3815.000	11	
ROI 7	2848.182	547.544	31330.000	2111.000	3905.000	11	
ROI 7	2787.545	530.636	30663.000	2027.000	3774.000	11	
ROI 7	2761.182	506.445	30373.000	2086.000	3682.000	11	
ROI 7	1437.636	302.775	15814.000	1039.000	1946.000	11	
ROI 7	1474.727	289.017	16222.000	1050.000	1904.000	11	
ROI 7	1481.182	291.629	16293.000	1086.000	1976.000	11	
ROI 7	1508.727	293.797	16596.000	1128.000	2007.000	11	
ROI 7	1519.636	290.263	16716.000	1094.000	1945.000	11	
ROI 7	1540.000	327.141	16940.000	1048.000	2024.000	11	
ROI 7	1536.818	293.773	16905.000	1160.000	2050.000	11	
ROI 7	1580.545	296.918	17386.000	1144.000	2067.000	11	
ROI 7	1590.364	297.291	17494.000	1156.000	2082.000	11	
ROI 7	1582.818	296.393	17411.000	1152.000	2077.000	11	
ROI 7	1592.364	314.741	17516.000	1074.000	2065.000	11	
ROI 7	1592.636	322.565	17519.000	1139.000	2092.000	11	
ROI 7	1591.364	324.169	17505.000	1171.000	2138.000	11	
ROI 7	1609.818	338.937	17708.000	1135.000	2153.000	11	
ROI 7	1596.818	324.526	17565.000	1170.000	2091.000	11	
ROI 7	1634.909	324.289	17984.000	1162.000	2138.000	11	
ROI 7	1620.909	322.197	17830.000	1171.000	2182.000	11	
ROI 7	1641.909	338.969	18061.000	1183.000	2179.000	11	
ROI 7	1631.909	319.828	17951.000	1211.000	2176.000	11	
ROI 7	1652.091	324.912	18173.000	1242.000	2194.000	11	
ROI 7	1661.364	310.041	18275.000	1286.000	2185.000	11	
ROI 7	1679.182	331.633	18471.000	1196.000	2204.000	11	
ROI 7	1669.909	334.079	18369.000	1209.000	2232.000	11	
ROI 7	1657.273	339.061	18230.000	1215.000	2162.000	11	
ROI 7	1664.000	325.351	18304.000	1214.000	2238.000	11	
ROI 7	1650.818	330.747	18159.000	1187.000	2211.000	11	
ROI 7	1669.727	325.249	18367.000	1195.000	2148.000	11	
ROI 7	1697.909	332.704	18677.000	1245.000	2282.000	11	
ROI 7	1687.000	346.220	18557.000	1191.000	2244.000	11	
ROI 7	1684.000	328.378	18524.000	1259.000	2191.000	11	
ROI 7	1688.818	340.680	18577.000	1218.000	2256.000	11	
ROI 7	1699.182	353.211	18691.000	1207.000	2355.000	11	
ROI 7	1700.091	345.319	18701.000	1231.000	2230.000	11	
ROI 7	1721.727	363.441	18939.000	1161.000	2301.000	11	
ROI 7	1732.818	336.685	19061.000	1237.000	2298.000	11	
ROI 7	1728.727	371.868	19016.000	1140.000	2329.000	11	
ROI 7	1731.364	343.243	19045.000	1237.000	2297.000	11	
ROI 7	1755.909	363.524	19315.000	1246.000	2389.000	11	
ROI 7	1736.636	355.591	19103.000	1236.000	2305.000	11	
ROI 7	1753.091	344.957	19284.000	1259.000	2316.000	11	
ROI 7	1752.000	327.303	19272.000	1272.000	2255.000	11	
ROI 7	1757.818	351.279	19336.000	1286.000	2351.000	11	
ROI 7	1758.636	345.706	19345.000	1236.000	2324.000	11	
ROI 7	1774.273	334.565	19517.000	1306.000	2341.000	11	
ROI 7	1778.909	359.824	19568.000	1226.000	2361.000	11	
ROI 7	1777.909	348.378	19557.000	1312.000	2331.000	11	
ROI 7	1771.636	372.991	19488.000	1292.000	2398.000	11	
ROI 7	1783.727	354.847	19621.000	1264.000	2361.000	11	
ROI 7	1798.818	359.371	19787.000	1300.000	2364.000	11	
ROI 7	1793.909	362.712	19733.000	1343.000	2471.000	11	
ROI 7	1803.636	343.434	19840.000	1356.000	2344.000	11	
ROI 7	1817.636	372.695	19994.000	1337.000	2445.000	11	
ROI 7	1814.545	369.750	19960.000	1312.000	2442.000	11	
ROI 7	1825.273	360.636	20078.000	1326.000	2431.000	11	
ROI 7	1823.455	361.566	20058.000	1338.000	2429.000	11	
ROI 7	1820.273	359.039	20023.000	1334.000	2408.000	11	
ROI 7	1809.182	357.810	19901.000	1341.000	2381.000	11	
ROI 7	1834.727	362.255	20182.000	1354.000	2411.000	11	
ROI 7	1839.182	373.772	20231.000	1398.000	2536.000	11	
ROI 7	1851.818	363.159	20370.000	1346.000	2450.000	11	
ROI 7	1847.909	366.576	20327.000	1370.000	2449.000	11	
ROI 7	1862.273	357.685	20485.000	1399.000	2528.000	11	
ROI 7	1862.273	352.263	20485.000	1394.000	2456.000	11	
ROI 7	1852.273	383.708	20375.000	1346.000	2528.000	11	
ROI 7	1871.000	383.278	20581.000	1358.000	2495.000	11	
ROI 7	1875.455	360.509	20630.000	1406.000	2478.000	11	
ROI 7	1879.818	359.095	20678.000	1404.000	2463.000	11	
ROI 7	1888.091	368.493	20769.000	1406.000	2440.000	11	
ROI 7	1885.364	374.585	20739.000	1398.000	2521.000	11	
ROI 7	1896.273	384.288	20859.000	1369.000	2527.000	11	
ROI 7	1931.182	375.833	21243.000	1421.000	2599.000	11	
ROI 7	1948.818	378.010	21437.000	1432.000	2571.000	11	
ROI 7	1957.182	373.451	21529.000	1435.000	2563.000	11	
ROI 7	1960.273	387.475	21563.000	1429.000	2583.000	11	
ROI 7	1947.364	401.745	21421.000	1374.000	2638.000	11	
ROI 7	1974.727	379.441	21722.000	1395.000	2644.000	11	
ROI 7	1976.909	394.745	21746.000	1490.000	2664.000	11	
ROI 7	1976.545	397.684	21742.000	1466.000	2710.000	11	
ROI 7	2001.455	392.633	22016.000	1508.000	2733.000	11	
ROI 7	2015.636	386.225	22172.000	1482.000	2651.000	11	
ROI 7	2043.455	414.863	22478.000	1455.000	2731.000	11	
ROI 7	2055.909	403.797	22615.000	1497.000	2705.000	11	
ROI 7	2047.091	411.007	22518.000	1548.000	2785.000	11	
ROI 7	2064.455	413.438	22709.000	1509.000	2778.000	11	
ROI 7	2072.909	422.618	22802.000	1595.000	2814.000	11	
ROI 7	2096.364	425.928	23060.000	1527.000	2809.000	11	
ROI 7	2098.909	431.456	23088.000	1499.000	2838.000	11	
ROI 7	2142.364	409.150	23566.000	1643.000	2846.000	11	
ROI 7	2163.091	438.471	23794.000	1616.000	2925.000	11	
ROI 7	2187.727	407.366	24065.000	1615.000	2822.000	11	
ROI 7	2205.364	464.627	24259.000	1597.000	2999.000	11	
ROI 7	2248.636	440.574	24735.000	1648.000	3051.000	11	
ROI 7	2282.636	454.795	25109.000	1643.000	3105.000	11	
ROI 7	2288.000	450.401	25168.000	1669.000	3089.000	11	
ROI 7	2323.273	473.688	25556.000	1673.000	3152.000	11	
ROI 7	2386.000	457.242	26246.000	1777.000	3217.000	11	
ROI 7	2443.000	483.928	26873.000	1775.000	3259.000	11	
ROI 7	2558.455	497.237	28143.000	1909.000	3440.000	11	
ROI 8	312.889	98.006	2816.000	127.000	463.000	9	
ROI 8	193.111	87.351	1738.000	89.000	318.000	9	
ROI 8	136.667	47.990	1230.000	84.000	207.000	9	
ROI 8	117.889	22.915	1061.000	84.000	152.000	9	
ROI 8	151.111	60.744	1360.000	85.000	287.000	9	
ROI 8	190.111	45.556	1711.000	128.000	276.000	9	
ROI 8	253.444	75.402	2281.000	156.000	406.000	9	
ROI 8	270.778	65.396	2437.000	204.000	414.000	9	
ROI 8	345.889	61.085	3113.000	262.000	456.000	9	
ROI 8	358.778	69.287	3229.000	258.000	489.000	9	
ROI 8	376.778	79.777	3391.000	275.000	524.000	9	
ROI 8	422.333	67.939	3801.000	340.000	541.000	9	
ROI 8	453.444	81.265	4081.000	323.000	602.000	9	
ROI 8	477.333	90.649	4296.000	349.000	614.000	9	
ROI 8	510.111	94.078	4591.000	415.000	697.000	9	
ROI 8	510.000	94.090	4590.000	364.000	659.000	9	
ROI 8	516.556	77.848	4649.000	401.000	665.000	9	
ROI 8	528.556	84.868	4757.000	404.000	704.000	9	
ROI 8	541.889	69.003	4877.000	458.000	678.000	9	
ROI 8	514.333	79.881	4629.000	422.000	684.000	9	
ROI 8	545.333	86.080	4908.000	452.000	688.000	9	
ROI 8	531.556	88.884	4784.000	431.000	703.000	9	
ROI 8	557.667	79.850	5019.000	477.000	713.000	9	
ROI 8	554.000	92.852	4986.000	467.000	740.000	9	
ROI 8	552.556	104.933	4973.000	423.000	752.000	9	
ROI 8	577.444	100.050	5197.000	445.000	798.000	9	
ROI 8	569.889	85.752	5129.000	478.000	697.000	9	
ROI 8	567.778	102.539	5110.000	440.000	760.000	9	
ROI 8	580.000	90.402	5220.000	486.000	741.000	9	
ROI 8	586.556	98.912	5279.000	465.000	768.000	9	
ROI 8	576.889	84.493	5192.000	455.000	724.000	9	
ROI 8	598.222	96.136	5384.000	481.000	777.000	9	
ROI 8	582.778	96.028	5245.000	471.000	779.000	9	
ROI 8	606.111	86.001	5455.000	507.000	762.000	9	
ROI 8	596.333	103.486	5367.000	488.000	798.000	9	
ROI 8	597.667	99.125	5379.000	459.000	802.000	9	
ROI 8	617.333	87.844	5556.000	501.000	766.000	9	
ROI 8	618.667	82.757	5568.000	525.000	774.000	9	
ROI 8	601.111	99.636	5410.000	480.000	798.000	9	
ROI 8	612.222	102.951	5510.000	501.000	820.000	9	
ROI 8	614.667	90.460	5532.000	515.000	776.000	9	
ROI 8	614.667	105.153	5532.000	497.000	844.000	9	
ROI 8	608.333	109.584	5475.000	507.000	838.000	9	
ROI 8	626.667	95.602	5640.000	532.000	806.000	9	
ROI 8	604.667	105.119	5442.000	477.000	811.000	9	
ROI 8	624.778	86.103	5623.000	530.000	814.000	9	
ROI 8	622.333	94.759	5601.000	548.000	807.000	9	
ROI 8	612.333	104.505	5511.000	456.000	774.000	9	
ROI 8	637.222	116.892	5735.000	482.000	854.000	9	
ROI 8	618.000	85.267	5562.000	526.000	813.000	9	
ROI 8	638.444	88.921	5746.000	549.000	776.000	9	
ROI 8	613.667	101.639	5523.000	494.000	807.000	9	
ROI 8	621.778	91.783	5596.000	497.000	803.000	9	
ROI 8	643.111	77.871	5788.000	559.000	808.000	9	
ROI 8	633.556	100.515	5702.000	506.000	823.000	9	
ROI 8	631.333	112.261	5682.000	521.000	895.000	9	
ROI 8	639.889	92.561	5759.000	514.000	795.000	9	
ROI 8	633.222	96.367	5699.000	532.000	830.000	9	
ROI 8	629.000	100.894	5661.000	510.000	797.000	9	
ROI 8	642.889	108.553	5786.000	503.000	805.000	9	
ROI 8	630.333	105.360	5673.000	496.000	795.000	9	
ROI 8	642.556	105.666	5783.000	519.000	855.000	9	
ROI 8	626.333	99.545	5637.000	504.000	827.000	9	
ROI 8	646.333	96.372	5817.000	520.000	846.000	9	
ROI 8	636.667	108.155	5730.000	514.000	862.000	9	
ROI 8	655.556	89.510	5900.000	546.000	834.000	9	
ROI 8	637.778	97.532	5740.000	526.000	850.000	9	
ROI 8	644.000	103.611	5796.000	527.000	827.000	9	
ROI 8	656.444	105.862	5908.000	560.000	904.000	9	
ROI 8	638.889	94.559	5750.000	519.000	832.000	9	
ROI 8	629.556	91.654	5666.000	485.000	780.000	9	
ROI 8	639.778	97.831	5758.000	499.000	818.000	9	
ROI 8	650.444	98.751	5854.000	531.000	843.000	9	
ROI 8	641.111	116.582	5770.000	501.000	863.000	9	
ROI 8	652.222	101.410	5870.000	520.000	834.000	9	
ROI 8	636.222	105.826	5726.000	542.000	879.000	9	
ROI 8	626.556	96.061	5639.000	496.000	788.000	9	
ROI 8	648.667	108.745	5838.000	515.000	853.000	9	
ROI 8	644.556	105.049	5801.000	468.000	835.000	9	
ROI 8	638.444	124.040	5746.000	509.000	889.000	9	
ROI 8	651.667	99.447	5865.000	529.000	828.000	9	
ROI 8	651.556	112.440	5864.000	508.000	877.000	9	
ROI 8	662.444	87.076	5962.000	554.000	840.000	9	
ROI 8	658.556	84.652	5927.000	569.000	829.000	9	
ROI 8	636.556	106.363	5729.000	497.000	852.000	9	
ROI 8	657.111	86.874	5914.000	546.000	844.000	9	
ROI 8	636.556	113.900	5729.000	523.000	851.000	9	
ROI 8	656.222	108.301	5906.000	521.000	842.000	9	
ROI 8	667.556	103.667	6008.000	552.000	881.000	9	
ROI 8	660.889	97.341	5948.000	555.000	792.000	9	
ROI 8	653.889	123.815	5885.000	501.000	874.000	9	
ROI 8	658.111	103.900	5923.000	550.000	865.000	9	
ROI 8	647.667	105.562	5829.000	500.000	857.000	9	
ROI 8	658.444	112.636	5926.000	545.000	891.000	9	
ROI 8	650.444	123.982	5854.000	508.000	879.000	9	
ROI 8	672.444	118.875	6052.000	526.000	898.000	9	
ROI 8	683.667	102.299	6153.000	534.000	885.000	9	
ROI 8	647.556	102.864	5828.000	530.000	846.000	9	
ROI 8	644.222	123.953	5798.000	501.000	879.000	9	
ROI 8	654.333	106.088	5889.000	513.000	859.000	9	
ROI 8	660.111	103.493	5941.000	573.000	886.000	9	
ROI 8	660.333	122.480	5943.000	506.000	886.000	9	
ROI 8	678.778	102.756	6109.000	516.000	849.000	9	
ROI 8	669.111	115.154	6022.000	480.000	861.000	9	
ROI 8	664.667	106.484	5982.000	532.000	852.000	9	
ROI 9	2674.091	270.766	29415.000	2390.000	3160.000	11	
ROI 9	2600.091	277.348	28601.000	2283.000	3070.000	11	
ROI 9	2514.455	261.208	27659.000	2171.000	2936.000	11	
ROI 9	2392.455	274.241	26317.000	2098.000	2930.000	11	
ROI 9	2322.364	261.050	25546.000	2073.000	2860.000	11	
ROI 9	2234.636	229.577	24581.000	1965.000	2672.000	11	
ROI 9	2164.273	234.270	23807.000	1860.000	2544.000	11	
ROI 9	1249.364	101.474	13743.000	1112.000	1424.000	11	
ROI 9	1310.364	146.111	14414.000	1136.000	1542.000	11	
ROI 9	1327.000	135.615	14597.000	1174.000	1587.000	11	
ROI 9	1354.000	131.879	14894.000	1212.000	1607.000	11	
ROI 9	1387.455	124.295	15262.000	1258.000	1611.000	11	
ROI 9	1388.909	150.111	15278.000	1200.000	1632.000	11	
ROI 9	1407.455	124.581	15482.000	1294.000	1662.000	11	
ROI 9	1433.545	150.581	15769.000	1276.000	1714.000	11	
ROI 9	1438.818	129.389	15827.000	1268.000	1635.000	11	
ROI 9	1452.273	151.574	15975.000	1275.000	1729.000	11	
ROI 9	1459.364	125.199	16053.000	1305.000	1699.000	11	
ROI 9	1462.818	156.778	16091.000	1325.000	1819.000	11	
ROI 9	1458.545	114.687	16044.000	1290.000	1634.000	11	
ROI 9	1465.364	145.550	16119.000	1281.000	1709.000	11	
ROI 9	1479.545	149.769	16275.000	1299.000	1734.000	11	
ROI 9	1503.727	137.796	16541.000	1363.000	1724.000	11	
ROI 9	1522.000	155.962	16742.000	1349.000	1790.000	11	
ROI 9	1525.000	140.348	16775.000	1349.000	1754.000	11	
