			
ROI	Mean	STD	Sum	Min	Max	Pixel count	
ROI 2	2333.462	295.188	30335.000	2007.000	3089.000	13	
ROI 2	2222.462	284.611	28892.000	1916.000	2979.000	13	
ROI 2	2104.154	286.065	27354.000	1765.000	2824.000	13	
ROI 2	1956.154	267.346	25430.000	1583.000	2639.000	13	
ROI 2	1864.154	279.016	24234.000	1571.000	2587.000	13	
ROI 2	1768.923	236.915	22996.000	1509.000	2382.000	13	
ROI 2	1644.462	236.793	21378.000	1362.000	2268.000	13	
ROI 2	1094.077	144.271	14223.000	954.000	1466.000	13	
ROI 2	1146.231	130.852	14901.000	986.000	1482.000	13	
ROI 2	1165.692	128.481	15154.000	1024.000	1528.000	13	
ROI 2	1180.538	142.503	15347.000	1015.000	1520.000	13	
ROI 2	1227.077	144.611	15952.000	1095.000	1618.000	13	
ROI 2	1259.462	150.477	16373.000	1119.000	1663.000	13	
ROI 2	1273.846	161.422	16560.000	1113.000	1720.000	13	
ROI 2	1283.231	158.729	16682.000	1104.000	1699.000	13	
ROI 2	1324.000	165.949	17212.000	1103.000	1760.000	13	
ROI 2	1347.385	165.737	17516.000	1160.000	1732.000	13	
ROI 2	1351.615	161.624	17571.000	1188.000	1765.000	13	
ROI 2	1364.077	164.023	17733.000	1200.000	1763.000	13	
ROI 2	1353.231	162.741	17592.000	1134.000	1713.000	13	
ROI 2	1387.923	165.398	18043.000	1177.000	1824.000	13	
ROI 2	1401.308	176.758	18217.000	1215.000	1840.000	13	
ROI 2	1414.385	181.894	18387.000	1181.000	1862.000	13	
ROI 2	1414.846	155.188	18393.000	1237.000	1788.000	13	
ROI 2	1432.692	167.753	18625.000	1227.000	1834.000	13	
ROI 2	1436.077	169.761	18669.000	1258.000	1867.000	13	
ROI 2	1455.462	163.547	18921.000	1274.000	1899.000	13	
ROI 2	1452.923	180.578	18888.000	1238.000	1877.000	13	
ROI 2	1470.538	186.969	19117.000	1272.000	1967.000	13	
ROI 2	1499.615	168.430	19495.000	1294.000	1919.000	13	
ROI 2	1492.308	170.093	19400.000	1252.000	1914.000	13	
ROI 2	1496.615	161.898	19456.000	1293.000	1925.000	13	
ROI 2	1507.923	185.752	19603.000	1303.000	2020.000	13	
ROI 2	1508.385	182.834	19609.000	1279.000	1963.000	13	
ROI 2	1543.385	176.508	20064.000	1332.000	2002.000	13	
ROI 2	1547.538	195.074	20118.000	1284.000	2030.000	13	
ROI 2	1555.538	189.249	20222.000	1299.000	2046.000	13	
ROI 2	1553.923	187.303	20201.000	1329.000	2019.000	13	
ROI 2	1568.615	186.648	20392.000	1324.000	2022.000	13	
ROI 2	1589.000	187.643	20657.000	1378.000	2058.000	13	
ROI 2	1574.615	204.842	20470.000	1386.000	2069.000	13	
ROI 2	1608.308	193.363	20908.000	1377.000	2102.000	13	
ROI 2	1630.385	195.617	21195.000	1384.000	2139.000	13	
ROI 2	1618.923	180.351	21046.000	1415.000	2044.000	13	
ROI 2	1636.385	182.052	21273.000	1419.000	2098.000	13	
ROI 2	1615.692	201.771	21004.000	1356.000	2167.000	13	
ROI 2	1647.154	176.318	21413.000	1444.000	2121.000	13	
ROI 2	1666.000	207.685	21658.000	1409.000	2148.000	13	
ROI 2	1642.077	207.651	21347.000	1432.000	2174.000	13	
ROI 2	1664.000	202.158	21632.000	1375.000	2184.000	13	
ROI 2	1663.538	211.861	21626.000	1400.000	2191.000	13	
ROI 2	1703.692	208.205	22148.000	1452.000	2254.000	13	
ROI 2	1702.615	212.453	22134.000	1435.000	2257.000	13	
ROI 2	1712.538	199.497	22263.000	1496.000	2208.000	13	
ROI 2	1706.154	202.340	22180.000	1437.000	2245.000	13	
ROI 2	1713.077	204.654	22270.000	1484.000	2208.000	13	
ROI 2	1730.923	204.603	22502.000	1444.000	2261.000	13	
ROI 2	1730.231	210.261	22493.000	1434.000	2266.000	13	
ROI 2	1747.000	206.349	22711.000	1427.000	2248.000	13	
ROI 2	1749.231	210.589	22740.000	1479.000	2284.000	13	
ROI 2	1745.538	202.186	22692.000	1453.000	2277.000	13	
ROI 2	1769.615	223.603	23005.000	1525.000	2315.000	13	
ROI 2	1785.462	220.268	23211.000	1520.000	2327.000	13	
ROI 2	1779.923	213.025	23139.000	1517.000	2288.000	13	
ROI 2	1783.538	221.923	23186.000	1523.000	2327.000	13	
ROI 2	1789.846	197.537	23268.000	1474.000	2255.000	13	
ROI 2	1792.615	218.399	23304.000	1525.000	2321.000	13	
ROI 2	1816.769	230.233	23618.000	1479.000	2425.000	13	
ROI 2	1797.538	204.786	23368.000	1489.000	2333.000	13	
ROI 2	1824.308	199.353	23716.000	1597.000	2353.000	13	
ROI 2	1810.538	244.423	23537.000	1496.000	2403.000	13	
ROI 2	1841.000	215.062	23933.000	1532.000	2371.000	13	
ROI 2	1860.154	221.219	24182.000	1603.000	2425.000	13	
ROI 2	1855.385	222.309	24120.000	1579.000	2407.000	13	
ROI 2	1888.077	234.436	24545.000	1555.000	2411.000	13	
ROI 2	1894.385	210.597	24627.000	1612.000	2427.000	13	
ROI 2	1894.000	231.460	24622.000	1645.000	2513.000	13	
ROI 2	1904.154	227.838	24754.000	1691.000	2484.000	13	
ROI 2	1915.462	222.525	24901.000	1670.000	2489.000	13	
ROI 2	1935.538	241.852	25162.000	1613.000	2569.000	13	
ROI 2	1970.000	229.324	25610.000	1704.000	2560.000	13	
ROI 2	1985.538	247.758	25812.000	1702.000	2636.000	13	
ROI 2	1973.231	232.079	25652.000	1670.000	2536.000	13	
ROI 2	2011.538	250.124	26150.000	1689.000	2642.000	13	
ROI 2	2000.000	254.584	26000.000	1682.000	2672.000	13	
